Restaurant,Cuisine,Neighborhood
Gaia,Mediterranean,"Herald Square, New York, NY"
Tarallucci e Vino - Upper West Side,Italian,"Upper West Side, New York, NY"
Prohibition,American (New),"Upper West Side, New York, NY"
Jacob's Pickles,Soul Food / Southern,"Upper West Side, New York, NY"
Hasaki,Japanese / Sushi,"East Village, New York, NY"
Empellón,Mexican,"Midtown East, New York, NY"
Michael's,American (New),"Midtown West, New York, NY"
Qanoon,Middle Eastern,"Chelsea, New York, NY"
Hav & Mar,Seafood,"Chelsea, New York, NY"
The Sea Fire Grill,Seafood,"Midtown East, New York, NY"
Catria Cucina and Bar,Italian,"Hudson Yards, New York, NY"
Tinto Tapas Restaurant & Wine Bar,Spanish,"Washington Heights, New York, NY"
Off the Hook Raw Bar & Grill,Seafood,"Astoria, New York, NY"
Little Chef Little Cafe,Filipino,"Long Island City, New York, NY"
T Bar,American (New),"Upper East Side, New York, NY"
Lure Fishbar,Seafood,"Soho, New York, NY"
Frankie & Johnnie’s Steakhouse,Steakhouse,"Times Square/Theatre District, New York, NY"
Tanoreen,Middle Eastern,"Bay Ridge, New York, NY"
Aromi,Italian,"Carroll Gardens, New York, NY"
La Marchande,French,"Lower Manhattan, New York, NY"
Beauty & Essex,American (New),"Lower East Side, New York, NY"
Haven Rooftop,American (New),"Times Square/Theatre District, New York, NY"
Zero Otto Nove - Flatiron,Italian,"Flatiron District, New York, NY"
Morton's The Steakhouse—World Trade Center,Steakhouse,"Lower Manhattan, New York, NY"
Bourbon Steak New York,Steakhouse,"Midtown West, New York, NY"
Tarallucci e Vino - Union Square,Italian,"Union Square, New York, NY"
El Coco - Chelsea,Mexican,"Chelsea, New York, NY"
Nick's Lobster House,Seafood,"Mill Basin, New York, NY"
Metropolis,American (New),"Lower Manhattan, New York, NY"
The Ivory Peacock,Gastropub,"Flatiron District, New York, NY"
The Fulton,Seafood,"The Seaport, New York, NY"
Malii Gramercy,Thai,"Gramercy, New York, NY"
Bixi,Asian Fusion,"Harlem, New York, NY"
Morandi,Italian,"West Village, New York, NY"
Carlotto,Italian,"Gramercy, New York, NY"
Il Nonno,Italian,"Astoria, New York, NY"
Atrio Wine Bar & Restaurant,American (New),"Battery Park City, New York, NY"
A Pasta Bar,Italian,"Soho, New York, NY"
Maison Pickle,American (Traditional),"Upper West Side, New York, NY"
Aqua Boil,Seafood,"Hells Kitchen, New York, NY"
Oceana,Seafood,"Midtown West, New York, NY"
Point Seven,Seafood,"Midtown East, New York, NY"
The Terrace and Outdoor Gardens,American (New),"Times Square/Theatre District, New York, NY"
Godunk Thai Street Food,Thai,"Noho, New York, NY"
Nizza,Italian,"Hells Kitchen, New York, NY"
The Wolfe,American (New),"Upper West Side, New York, NY"
Verde on Smith,Italian,"Cobble Hill, New York, NY"
Pera Mediterranean Brasserie,Mediterranean,"Murray Hill, New York, NY"
Estiatorio Milos,Seafood,"Midtown West, New York, NY"
Champers Social Club,French,"Soho, New York, NY"
Greywind,American (New),"Hudson Yards, New York, NY"
Barano,Italian,"Williamsburg, New York, NY"
Tuome,American (New),"East Village, New York, NY"
Frenchette,French,"Tribeca, New York, NY"
Mr Chow New York - Tribeca,Chinese,"Tribeca, New York, NY"
Strip House Midtown,Steakhouse,"Midtown West, New York, NY"
Taste of India II,Indian,"New Dorp, New York, NY"
Pinky Swear,American (New),"Lower East Side, New York, NY"
Sotto la Luna,Italian,"Astoria, New York, NY"
Ma•dé,Asian Fusion,"Nolita, New York, NY"
Lele's Roman,Italian,"Boerum Hill, New York, NY"
Café Boulud,French,"Upper East Side, New York, NY"
Calvert's,American (New),"Midtown West, New York, NY"
Salt + Charcoal,Steakhouse,"Williamsburg, New York, NY"
Gaonnuri,Korean,"Koreatown, New York, NY"
Meet the Meat,Steakhouse,"Astoria, New York, NY"
Felice 83,Italian,"Upper East Side, New York, NY"
Sushi Ann,Japanese / Sushi,"Midtown East, New York, NY"
Petite Boucherie,French,"West Village, New York, NY"
Chez Josephine,French,"Hells Kitchen, New York, NY"
Dos Caminos Meatpacking District,Mexican,"Meatpacking District, New York, NY"
Empire Steak House - Midtown West,Steakhouse,"Midtown West, New York, NY"
Del Friscos Double Eagle Steakhouse New York,Steakhouse,"Midtown West, New York, NY"
Jue Lan Club,Chinese,"Flatiron District, New York, NY"
Limani,Mediterranean,"Midtown West, New York, NY"
Antica Pesa,Italian,"Williamsburg, New York, NY"
Crown Shy,American (New),"Lower Manhattan, New York, NY"
The Parlour Room,American (New),"Herald Square, New York, NY"
La Contenta Oeste,Mexican,"West Village, New York, NY"
Passerine,Indian,"Flatiron District, New York, NY"
Barawine,French,"Harlem, New York, NY"
Miriam Brooklyn,Mediterranean,"Park Slope, New York, NY"
David Burke Tavern,American (New),"Upper East Side, New York, NY"
Manuela,American (New),"Soho, New York, NY"
Tavern on the Green,American (New),"Central Park, New York, NY"
Sweet Catch,Seafood,"Prospect Lefferts Gardens, New York, NY"
Sereneco,American (New),"Greenpoint, New York, NY"
Glass House Tavern,American (New),"Times Square/Theatre District, New York, NY"
Tasca NYC,Latin American,"Upper West Side, New York, NY"
Becco,Italian,"Times Square/Theatre District, New York, NY"
Rowland's Bar & Grill,Gastropub,"Herald Square, New York, NY"
Kashkaval Garden,Mediterranean,"Hells Kitchen, New York, NY"
Socarrat Paella Bar - Nolita,Spanish,"Nolita, New York, NY"
Tucci,Italian,"Noho, New York, NY"
Le Rock,French,"Midtown West, New York, NY"
Leuca,Italian,"Williamsburg, New York, NY"
City Winery,American (New),"Chelsea, New York, NY"
Hudson VU,American (New),"Hells Kitchen, New York, NY"
L'Express,French,"Gramercy, New York, NY"
Filé Gumbo Bar,Cajun/Creole,"Tribeca, New York, NY"
5 Napkin Burger - Hell's Kitchen,American (Traditional),"Hells Kitchen, New York, NY"
Mesiba,Mediterranean,"Williamsburg, New York, NY"
Wagamama - Midtown,Asian Fusion,"Midtown West, New York, NY"
Docks Oyster Bar,Seafood,"Midtown East, New York, NY"
Socarrat Paella Bar - Chelsea,Spanish,"Chelsea, New York, NY"
Cosme,Mexican,"Flatiron District, New York, NY"
Sinigual,Mexican,"Midtown East, New York, NY"
Hupo,Chinese,"Long Island City, New York, NY"
Club A Steakhouse,Steakhouse,"Midtown East, New York, NY"
Mishik,Japanese / Sushi,"Hudson Square, New York, NY"
Treadwell Park - Upper East Side,American (Traditional),"Upper East Side, New York, NY"
Rynn Thai Restaurant & Bar,Thai,"East Village, New York, NY"
Bananas,American (New),"East Village, New York, NY"
Berimbau - Midtown,Brazilian,"Herald Square, New York, NY"
Le Rivage,French,"Times Square/Theatre District, New York, NY"
Plado Tasting Bar,Mediterranean,"East Village, New York, NY"
Mito - Bayside,Asian Fusion,"Bayside, New York, NY"
Cull & Pistol Oyster Bar,Seafood,"Chelsea, New York, NY"
State Grill and Bar,American (Traditional),"Herald Square, New York, NY"
Tarallucci e Vino - NoMad,Italian,"Nomad, New York, NY"
Il Fiorista,Mediterranean,"Nomad, New York, NY"
Perry Street,American (New),"West Village, New York, NY"
Fogo de Chão Brazilian Steakhouse,Brazilian,"Midtown West, New York, NY"
Tao Uptown,Pan-Asian,"Midtown East, New York, NY"
Barbounia,Mediterranean,"Gramercy, New York, NY"
Recette,French,"Williamsburg, New York, NY"
Dos Caminos Times Square,Mexican,"Times Square/Theatre District, New York, NY"
Playa Betty's,Mexican,"Upper West Side, New York, NY"
Trapizzino,Italian,"Lower East Side, New York, NY"
Oceans,Seafood,"Gramercy, New York, NY"
Reyna,Mediterranean,"Union Square, New York, NY"
Blackbarn,American (New),"Nomad, New York, NY"
Le Pavillon,French,"Midtown East, New York, NY"
La Voglia,Italian,"Upper East Side, New York, NY"
Pasta Louise,Italian,"Park Slope, New York, NY"
Iris,Greek,"Midtown West, New York, NY"
RA Sushi Bar Restaurant – Times Square,Japanese / Sushi,"Times Square/Theatre District, New York, NY"
No Work Allowed,Asian Fusion,"Midtown East, New York, NY"
Brooklyn Chop House - Times Square,Asian Fusion,"Times Square/Theatre District, New York, NY"
Dinosaur Bar-B-Que - Harlem,Barbecue,"Harlem, New York, NY"
Lido,Italian,"Harlem, New York, NY"
Red Rooster Harlem,Soul Food / Southern,"Harlem, New York, NY"
ABC Kitchen,American (New),"Union Square, New York, NY"
The Library at The Public,American (New),"Noho, New York, NY"
Neir's Tavern,American (Traditional),"Woodhaven, New York, NY"
Tha Phraya,Thai,"Upper East Side, New York, NY"
La Grande Boucherie,French,"Midtown West, New York, NY"
Fish Cheeks,Thai,"Noho, New York, NY"
Yama Ramen,Japanese / Sushi,"Midtown West, New York, NY"
Broadway Lounge,American (New),"Times Square/Theatre District, New York, NY"
The Dutch,American (New),"Soho, New York, NY"
Kissaki,Japanese / Sushi,"East Village, New York, NY"
Socarrat Paella Bar - Midtown East,Spanish,"Midtown East, New York, NY"
Crave Fishbar - Midtown,Seafood,"Midtown East, New York, NY"
Kings of Kobe,Steakhouse,"Hells Kitchen, New York, NY"
Sake No Hana,Japanese / Sushi,"Lower East Side, New York, NY"
Bar Sprezzatura,Italian,"Times Square/Theatre District, New York, NY"
Wagamama - Murray Hill,Asian Fusion,"Murray Hill, New York, NY"
Bottino,Italian,"Chelsea, New York, NY"
Noreetuh,Hawaiian,"East Village, New York, NY"
Twin Tails,Thai,"Upper West Side, New York, NY"
Charlie Palmer Steak IV,Steakhouse,"Times Square/Theatre District, New York, NY"
Ocean Prime,Seafood,"Midtown West, New York, NY"
La Gioconda,Italian,"Midtown East, New York, NY"
Chez Nick,American (New),"Upper East Side, New York, NY"
Oda House - Manhattan,Eastern European,"Upper East Side, New York, NY"
Sarabeth's Central Park South,American (New),"Midtown West, New York, NY"
Stout NYC Grand Central,American (Traditional),"Murray Hill, New York, NY"
Crave Fishbar - Upper West Side,Seafood,"Upper West Side, New York, NY"
Monterey,American (New),"Midtown East, New York, NY"
Delmonico's,Steakhouse,"Lower Manhattan, New York, NY"
Kyma,Greek,"Flatiron District, New York, NY"
Comal,Mexican,"Lower East Side, New York, NY"
Danji,Korean,"Hells Kitchen, New York, NY"
Pomp & Circumstance,Mediterranean,"Williamsburg, New York, NY"
Sabai Thai,Thai,"Nomad, New York, NY"
Olio e Più,Italian,"West Village, New York, NY"
