Restaurant,Cuisine,Neighborhood,Address,Latitude,Longitude
Gaia,Mediterranean,"Herald Square, New York, NY","42 W 35th St, New York, NY 10001, USA",40.74976120000000,-73.9860805
Tarallucci e Vino - Upper West Side,Italian,"Upper West Side, New York, NY","475 Columbus Ave, New York, NY 10024, USA",40.784365,-73.97349
Prohibition,American (New),"Upper West Side, New York, NY","503 Columbus Ave, New York, NY 10024, USA",40.7852222,-73.9727293
Jacob's Pickles,Soul Food / Southern,"Upper West Side, New York, NY","680 Columbus Ave, New York, NY 10025, USA",40.7911551,-73.9690457
Hasaki,Japanese / Sushi,"East Village, New York, NY","210 E 9th St, New York, NY 10003, USA",40.729689,-73.98882930000000
Empellón,Mexican,"Midtown East, New York, NY","510 Madison Ave, New York, NY 10022, USA",40.7597318,-73.9746715
Michael's,American (New),"Midtown West, New York, NY","24 W 55th St, New York, NY 10019, USA",40.7620797,-73.97644380000000
Qanoon,Middle Eastern,"Chelsea, New York, NY","180 9th Ave, New York, NY 10011, USA",40.7452323,-74.00199050000000
Hav & Mar,Seafood,"Chelsea, New York, NY","245 11th Ave, New York, NY 10001, USA",40.7509642,-74.005733
The Sea Fire Grill,Seafood,"Midtown East, New York, NY","158 E 48th St Between 3rd and, The Buchanan, Lexington Ave, New York, NY 10017, USA",40.7544393,-73.9723135
Catria Cucina and Bar,Italian,"Hudson Yards, New York, NY","461 W 34th St. Frnt 1, New York, NY 10001, USA",40.754585,-73.998721
Tinto Tapas Restaurant & Wine Bar,Spanish,"Washington Heights, New York, NY","209 Pinehurst Ave, New York, NY 10033, USA",40.8550871,-73.9377887
Off the Hook Raw Bar & Grill,Seafood,"Astoria, New York, NY","28-08 34th St, Astoria, NY 11103, USA",40.7671634,-73.9180743
Little Chef Little Cafe,Filipino,"Long Island City, New York, NY","5-43 48th Ave, Long Island City, NY 11101, USA",40.7444091,-73.9542191
T Bar,American (New),"Upper East Side, New York, NY","116 E 60th St, New York, NY 10022, USA",40.763048,-73.96870920000000
Lure Fishbar,Seafood,"Soho, New York, NY","142 Mercer St, New York, NY 10012, USA",40.724703,-73.9983278
Frankie & Johnnie’s Steakhouse,Steakhouse,"Times Square/Theatre District, New York, NY","320 W 46th St, New York, NY 10036, USA",40.7599917,-73.9889712
Tanoreen,Middle Eastern,"Bay Ridge, New York, NY","7523 3rd Ave, Brooklyn, NY 11209, USA",40.63079160000000,-74.02778650000000
Aromi,Italian,"Carroll Gardens, New York, NY","552 Court St, Brooklyn, NY 11231, USA",40.6750189,-73.9996717
La Marchande,French,"Lower Manhattan, New York, NY","88 Wall St, New York, NY 10005, USA",40.7056275,-74.0076321
Beauty & Essex,American (New),"Lower East Side, New York, NY","146 Essex St, New York, NY 10002, USA",40.7204209,-73.9868826
Haven Rooftop,American (New),"Times Square/Theatre District, New York, NY","132 W 47th St, New York, NY 10036, USA",40.7584057,-73.9833062
Zero Otto Nove - Flatiron,Italian,"Flatiron District, New York, NY","15 W 21st St, New York, NY 10010, USA",40.7408896,-73.9916077
Morton's The Steakhouse—World Trade Center,Steakhouse,"Lower Manhattan, New York, NY","136 Washington St, New York, NY 10006, USA",40.7097005,-74.0139538
Bourbon Steak New York,Steakhouse,"Midtown West, New York, NY","160 Central Park S Suite 1101-62, New York, NY 10019, USA",40.7660208,-73.97864920000000
Tarallucci e Vino - Union Square,Italian,"Union Square, New York, NY","15 E 18th St, New York, NY 10003, USA",40.7382123,-73.9906233
El Coco - Chelsea,Mexican,"Chelsea, New York, NY","202 8th Ave, New York, NY 10011, USA",40.7435248,-73.9994683
Nick's Lobster House,Seafood,"Mill Basin, New York, NY","2777 Flatbush Ave, Brooklyn, NY 11234, USA",40.6036058,-73.9151773
Metropolis,American (New),"Lower Manhattan, New York, NY","Located in, Performing Arts Center, 251 Fulton St, New York, NY 10007, USA",40.7126623,-74.0121097
The Ivory Peacock,Gastropub,"Flatiron District, New York, NY","38 W 26th St, New York, NY 10010, USA",40.7442721,-73.9907621
The Fulton,Seafood,"The Seaport, New York, NY","Northeast corner of Pier 17, 89 South St, New York, NY 10038, USA",40.705573,-74.00145670000000
Malii Gramercy,Thai,"Gramercy, New York, NY","391 2nd Ave, New York, NY 10010, USA",40.7377049,-73.9813506
Bixi,Asian Fusion,"Harlem, New York, NY","2164 Frederick Douglass Blvd, New York, NY 10026, USA",40.8048198,-73.9547643
Morandi,Italian,"West Village, New York, NY","211 Waverly Pl, New York, NY 10014, USA",40.7353245,-74.00143350000000
Carlotto,Italian,"Gramercy, New York, NY","100 E 19th St, New York, NY 10003, USA",40.7374367,-73.98764920000000
Il Nonno,Italian,"Astoria, New York, NY","25-17 Astoria Blvd, Astoria, NY 11102, USA",40.7713439,-73.922144
Atrio Wine Bar & Restaurant,American (New),"Battery Park City, New York, NY","102 N End Ave, New York, NY 10282, USA",40.7150869,-74.0150476
A Pasta Bar,Italian,"Soho, New York, NY","330 W Broadway, New York, NY 10013, USA",40.7222947,-74.0040089
Maison Pickle,American (Traditional),"Upper West Side, New York, NY","2315 Broadway, New York, NY 10024, USA",40.7870473,-73.9781361
Aqua Boil,Seafood,"Hells Kitchen, New York, NY","750 9th Ave, New York, NY 10019, USA",40.7637215,-73.98840300000000
Oceana,Seafood,"Midtown West, New York, NY","120 W 49th St, New York, NY 10020, USA",40.7597641,-73.9823074
Point Seven,Seafood,"Midtown East, New York, NY","200 Park Ave, New York, NY 10166, USA",40.7536857,-73.9768917
The Terrace and Outdoor Gardens,American (New),"Times Square/Theatre District, New York, NY","701 7th Ave 9th floor, New York, NY 10036, USA",40.759149,-73.98416400000000
Godunk Thai Street Food,Thai,"Noho, New York, NY","332 Bowery, New York, NY 10012, USA",40.7259855,-73.9923319
Nizza,Italian,"Hells Kitchen, New York, NY","630 9th Ave, New York, NY 10036, USA",40.759987,-73.9912338
